,cross_val_acc,training_acc,test_acc,train_size,solver,learning_rate_init,max_iter,momentum,hidden_layer_sizes
2694,0.34531805897030726,0.19124087591240876,0.42857142857142855,685,sgd,0.1,2000,0.9,"(130, 130, 130)"
2695,0.1844445529367061,0.0032088681446907816,0.42857142857142855,3428,sgd,0.1,2000,0.9,"(130, 130, 130, 130)"
2696,0.2731913738152447,0.0036469730123997084,0.42857142857142855,2742,sgd,0.1,2000,0.9,"(130, 130, 130, 130)"
2697,0.18193817089239556,0.4489299610894942,0.42857142857142855,2056,sgd,0.1,2000,0.9,"(130, 130, 130, 130)"
2698,0.21692148431278863,0.18453683442742524,0.42857142857142855,1371,sgd,0.1,2000,0.9,"(130, 130, 130, 130)"
2699,0.18532426775568145,0.4467153284671533,0.006122448979591836,685,sgd,0.1,2000,0.9,"(130, 130, 130, 130)"
2700,0.45770296348994444,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.1,"(13, 13)"
2701,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.1,"(13, 13)"
2702,0.44893788289348463,0.4489299610894942,0.3115646258503401,2056,sgd,1.0,50,0.1,"(13, 13)"
2703,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.1,"(13, 13)"
2704,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.1,"(13, 13)"
2705,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.1,"(13, 13, 13)"
2706,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.1,"(13, 13, 13)"
2707,0.44893788289348463,0.4489299610894942,0.3115646258503401,2056,sgd,1.0,50,0.1,"(13, 13, 13)"
2708,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.1,"(13, 13, 13)"
2709,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.1,"(13, 13, 13)"
2710,0.2752742472598503,0.4574095682613769,0.427891156462585,3428,sgd,1.0,50,0.1,"(130, 130, 130)"
2711,0.4529564363389279,0.0036469730123997084,0.42857142857142855,2742,sgd,1.0,50,0.1,"(130, 130, 130)"
2712,0.3594513303262475,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.1,"(130, 130, 130)"
2713,0.44787156482808654,0.44784828592268416,0.3115646258503401,1371,sgd,1.0,50,0.1,"(130, 130, 130)"
2714,0.3943019706658202,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.1,"(130, 130, 130)"
2715,0.09361485861356204,0.4574095682613769,0.006122448979591836,3428,sgd,1.0,50,0.1,"(130, 130, 130, 130)"
2716,0.18353792671389998,0.45295404814004375,0.006122448979591836,2742,sgd,1.0,50,0.1,"(130, 130, 130, 130)"
2717,0.0911066765141186,0.0029182879377431907,0.42857142857142855,2056,sgd,1.0,50,0.1,"(130, 130, 130, 130)"
2718,0.18265417352373875,0.0029175784099197666,0.006122448979591836,1371,sgd,1.0,50,0.1,"(130, 130, 130, 130)"
2719,0.30420612455256146,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.1,"(130, 130, 130, 130)"
2720,0.45770296348994444,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.3,"(13, 13)"
2721,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.3,"(13, 13)"
2722,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.3,"(13, 13)"
2723,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.3,"(13, 13)"
2724,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.3,"(13, 13)"
2725,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.3,"(13, 13, 13)"
2726,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.3,"(13, 13, 13)"
2727,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.3,"(13, 13, 13)"
2728,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.3,"(13, 13, 13)"
2729,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.3,"(13, 13, 13)"
